nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
R. Giedraitis,134.240066,215.833333,1C,08:56,TD Systems Baskonia,3,0,Barça,Triple,True,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,70.138269,140.833333,1C,06:18,TD Systems Baskonia,5,4,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,56.557379,23.333333,2C,06:12,TD Systems Baskonia,20,29,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,152.016982,200.0,3C,08:12,TD Systems Baskonia,33,37,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,61.240445,123.333333,3C,08:09,TD Systems Baskonia,35,37,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,35.502318,171.25,3C,07:13,TD Systems Baskonia,39,39,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,150.612062,77.083333,3C,06:38,TD Systems Baskonia,42,42,Barça,Triple,True,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,89.788411,247.916667,3C,05:20,TD Systems Baskonia,42,44,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
R. Giedraitis,39.24877,147.083333,4C,04:19,TD Systems Baskonia,61,65,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
S. Raieste,43.463529,166.25,1C,08:29,TD Systems Baskonia,5,0,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,27.559839,22.916667,1C,06:47,TD Systems Baskonia,5,4,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,40.185383,116.25,2C,03:40,TD Systems Baskonia,22,33,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,59.367219,127.5,2C,02:57,TD Systems Baskonia,24,33,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,42.995222,154.166667,2C,02:40,TD Systems Baskonia,26,33,Barça,Tiro de 2,True,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,84.168732,245.833333,2C,02:00,TD Systems Baskonia,26,33,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,163.705913,157.083333,3C,04:08,TD Systems Baskonia,42,50,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
Z. Dragic,35.970624,165.416667,3C,03:18,TD Systems Baskonia,42,53,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,38.780464,115.416667,1C,05:45,TD Systems Baskonia,5,6,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,57.025686,128.333333,1C,05:39,TD Systems Baskonia,5,6,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,24.75,22.083333,2C,07:59,TD Systems Baskonia,17,24,Barça,Triple,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,43.931835,143.75,2C,07:31,TD Systems Baskonia,17,24,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,126.278855,108.333333,3C,08:53,TD Systems Baskonia,31,37,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,120.659177,166.25,3C,05:48,TD Systems Baskonia,42,44,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
P. Henry,125.342242,137.083333,3C,02:21,TD Systems Baskonia,42,53,Barça,Tiro de 2,False,100009,1,2020-2021,Supercopa Endesa,False
