nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
R. Kurucs,47.135052,157.783333,1C,09:46,Coosur Real Betis,0,0,Real Madrid,Tiro de 2,False,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,119.066935,52.683333,1C,08:24,Coosur Real Betis,7,5,Real Madrid,Triple,True,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,141.470719,78.966667,1C,05:22,Coosur Real Betis,13,11,Real Madrid,Triple,False,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,136.693992,62.016667,1C,04:06,Coosur Real Betis,13,13,Real Madrid,Triple,False,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,26.660691,72.6,2C,03:21,Coosur Real Betis,25,32,Real Madrid,Tiro de 2,False,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,139.560028,134.9,2C,03:01,Coosur Real Betis,27,34,Real Madrid,Tiro de 2,True,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,137.649338,61.583333,4C,04:25,Coosur Real Betis,59,84,Real Madrid,Triple,False,103448,1,2022-2023,Supercopa Endesa,False
R. Kurucs,80.01017,135.316667,4C,00:48,Coosur Real Betis,67,95,Real Madrid,Tiro de 2,False,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,35.221334,125.566667,1C,09:33,Coosur Real Betis,2,0,Real Madrid,Tiro de 2,True,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,72.38614,80.233333,1C,09:05,Coosur Real Betis,4,2,Real Madrid,Tiro de 2,True,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,24.75,22.6,1C,00:03,Coosur Real Betis,21,25,Real Madrid,Triple,True,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,103.350568,156.5,2C,04:25,Coosur Real Betis,25,30,Real Madrid,Tiro de 2,False,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,130.980653,51.0,2C,04:06,Coosur Real Betis,25,30,Real Madrid,Triple,False,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,55.246121,198.883333,2C,03:50,Coosur Real Betis,25,30,Real Madrid,Tiro de 2,False,103448,1,2022-2023,Supercopa Endesa,False
BJ Johnson,38.08737,156.083333,3C,07:30,Coosur Real Betis,37,44,Real Madrid,Tiro de 2,False,103448,1,2022-2023,Supercopa Endesa,False
