nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
C. Higgins,84.768165,96.766667,1C,09:49,Barça,2,0,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
C. Higgins,45.243094,136.583333,1C,05:22,Barça,11,8,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
C. Higgins,46.666746,130.233333,2C,03:53,Barça,39,23,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
C. Higgins,33.797682,134.9,2C,02:47,Barça,43,23,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
C. Higgins,56.669773,192.516667,3C,09:39,Barça,47,28,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
C. Higgins,32.842337,145.483333,3C,04:03,Barça,60,39,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
N. Hayes,24.75,258.616667,1C,08:11,Barça,3,4,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
N. Hayes,43.80071,134.9,1C,06:53,Barça,5,8,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
N. Hayes,45.7114,27.266667,1C,03:45,Barça,16,8,Valencia Basket,Triple,True,103028,1,2021-2022,Supercopa Endesa,False
N. Hayes,98.592573,245.916667,2C,01:04,Barça,43,28,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
N. Hayes,24.75,136.166667,3C,08:16,Barça,51,30,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
N. Calathes,82.876206,126.416667,1C,07:37,Barça,3,6,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
N. Calathes,67.141107,112.866667,1C,07:10,Barça,3,8,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
N. Calathes,45.243094,147.6,1C,06:40,Barça,7,8,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
N. Calathes,38.08737,162.016667,1C,06:23,Barça,9,8,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
N. Calathes,111.461637,87.866667,2C,00:07,Barça,45,28,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,24.75,258.2,1C,06:59,Barça,3,8,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,33.329376,135.316667,1C,05:46,Barça,9,8,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,162.900426,145.066667,2C,01:47,Barça,43,26,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,121.464664,101.85,3C,09:34,Barça,49,30,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,135.757379,68.366667,3C,08:25,Barça,49,30,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,39.511022,110.733333,3C,07:51,Barça,51,30,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,145.760407,90.833333,3C,07:28,Barça,54,32,Valencia Basket,Triple,True,103028,1,2021-2022,Supercopa Endesa,False
N. Mirotic,92.879234,33.616667,3C,05:54,Barça,56,37,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,40.953406,134.05,1C,04:13,Barça,13,8,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,123.843661,141.666667,1C,03:26,Barça,19,10,Valencia Basket,Tiro de 2,False,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,152.429092,89.55,1C,02:25,Barça,22,12,Valencia Basket,Triple,True,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,71.917833,145.483333,1C,01:00,Barça,24,13,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,44.287748,159.466667,2C,04:42,Barça,39,22,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,34.284721,124.3,2C,03:49,Barça,41,23,Valencia Basket,Tiro de 2,True,103028,1,2021-2022,Supercopa Endesa,False
B. Davies,97.168921,240.4,2C,03:12,Barça,41,23,Valencia Basket,Triple,False,103028,1,2021-2022,Supercopa Endesa,False
