nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
S. Dekker,131.411495,61.583333,1C,09:23,Joventut Badalona,3,3,Hiopos Lleida,Triple,True,104160,13,2024-2025,Liga Endesa,False
S. Dekker,25.630416,25.983333,1C,04:58,Joventut Badalona,8,13,Hiopos Lleida,Triple,False,104160,13,2024-2025,Liga Endesa,False
S. Dekker,301.594087,216.183333,1C,00:00,Joventut Badalona,22,16,Hiopos Lleida,Triple,False,104160,13,2024-2025,Liga Endesa,False
S. Dekker,24.75,141.25,2C,08:38,Joventut Badalona,27,19,Hiopos Lleida,Mate,True,104160,13,2024-2025,Liga Endesa,False
S. Dekker,164.249149,137.8,3C,07:47,Joventut Badalona,57,42,Hiopos Lleida,Triple,True,104160,13,2024-2025,Liga Endesa,False
S. Dekker,106.535052,237.366667,4C,08:45,Joventut Badalona,68,63,Hiopos Lleida,Triple,False,104160,13,2024-2025,Liga Endesa,False
S. Dekker,126.559839,221.133333,4C,00:01,Joventut Badalona,92,72,Hiopos Lleida,Triple,True,104160,13,2024-2025,Liga Endesa,False
D. Dotson,66.260691,161.75,1C,08:05,Joventut Badalona,5,5,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
D. Dotson,35.408657,132.2,1C,07:17,Joventut Badalona,5,5,Hiopos Lleida,Tiro de 2,False,104160,13,2024-2025,Liga Endesa,False
D. Dotson,100.578193,98.466667,2C,03:12,Joventut Badalona,44,28,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
D. Dotson,250.41755,57.25,2C,00:00,Joventut Badalona,50,38,Hiopos Lleida,Triple,False,104160,13,2024-2025,Liga Endesa,False
D. Dotson,131.355298,65.433333,4C,05:58,Joventut Badalona,72,68,Hiopos Lleida,Triple,False,104160,13,2024-2025,Liga Endesa,False
D. Dotson,101.009035,136.6,4C,05:18,Joventut Badalona,92,72,Hiopos Lleida,Tiro de 2,False,104160,13,2024-2025,Liga Endesa,False
D. Dotson,143.231552,197.35,4C,04:32,Joventut Badalona,75,68,Hiopos Lleida,Triple,True,104160,13,2024-2025,Liga Endesa,False
D. Dotson,39.155109,133.316667,4C,04:04,Joventut Badalona,75,68,Hiopos Lleida,Tiro de 2,False,104160,13,2024-2025,Liga Endesa,False
D. Dotson,108.183491,180.0,4C,02:10,Joventut Badalona,81,70,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
D. Dotson,29.788978,160.266667,4C,00:39,Joventut Badalona,86,72,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
A. Tomic,27.110265,150.416667,1C,05:54,Joventut Badalona,8,8,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
A. Tomic,24.75,130.533333,1C,04:45,Joventut Badalona,10,13,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
A. Tomic,101.702129,92.233333,1C,04:08,Joventut Badalona,10,13,Hiopos Lleida,Tiro de 2,False,104160,13,2024-2025,Liga Endesa,False
A. Tomic,32.673746,163.883333,1C,03:33,Joventut Badalona,10,13,Hiopos Lleida,Tiro de 2,False,104160,13,2024-2025,Liga Endesa,False
A. Tomic,34.809224,163.55,2C,05:08,Joventut Badalona,39,24,Hiopos Lleida,Tiro de 2,True,104160,13,2024-2025,Liga Endesa,False
A. Tomic,24.75,141.25,2C,00:23,Joventut Badalona,50,38,Hiopos Lleida,Mate,True,104160,13,2024-2025,Liga Endesa,False
