nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
J. Sakho,60.959461,144.4,1C,09:21,Río Breogán,2,3,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
J. Sakho,32.542621,156.533333,2C,05:19,Río Breogán,28,27,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
J. Sakho,24.75,132.5,2C,03:30,Río Breogán,34,27,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
J. Sakho,24.75,141.25,3C,06:56,Río Breogán,49,39,Bàsquet Girona,Mate,True,104151,12,2024-2025,Liga Endesa,False
J. Sakho,24.75,93.916667,4C,06:34,Río Breogán,67,65,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
J. Sakho,24.75,141.25,4C,02:53,Río Breogán,74,68,Bàsquet Girona,Mate,True,104151,12,2024-2025,Liga Endesa,False
T. Nakic,24.75,141.25,1C,08:35,Río Breogán,4,6,Bàsquet Girona,Mate,True,104151,12,2024-2025,Liga Endesa,False
T. Nakic,53.859934,21.316667,1C,06:38,Río Breogán,7,12,Bàsquet Girona,Triple,True,104151,12,2024-2025,Liga Endesa,False
T. Nakic,49.963623,253.166667,3C,08:38,Río Breogán,45,34,Bàsquet Girona,Triple,True,104151,12,2024-2025,Liga Endesa,False
T. Nakic,117.999196,232.05,3C,06:11,Río Breogán,49,41,Bàsquet Girona,Triple,False,104151,12,2024-2025,Liga Endesa,False
T. Nakic,51.331079,169.666667,3C,00:52,Río Breogán,58,54,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
D. Mavra,31.175166,125.466667,1C,07:37,Río Breogán,4,9,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
D. Mavra,77.837228,125.483333,4C,05:26,Río Breogán,70,65,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
D. Mavra,46.404494,175.0,4C,04:07,Río Breogán,72,67,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,138.82947,195.866667,1C,07:33,Río Breogán,4,9,Bàsquet Girona,Triple,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,142.3886,79.583333,1C,04:46,Río Breogán,7,17,Bàsquet Girona,Triple,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,50.563056,132.266667,2C,07:36,Río Breogán,19,27,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,59.311022,168.666667,2C,04:11,Río Breogán,32,27,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,163.705913,142.933333,2C,03:01,Río Breogán,37,27,Bàsquet Girona,Triple,True,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,24.75,255.583333,2C,00:00,Río Breogán,42,32,Bàsquet Girona,Triple,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,32.729943,112.366667,3C,09:30,Río Breogán,42,32,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,24.75,155.333333,3C,07:40,Río Breogán,47,36,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,160.090587,163.583333,4C,02:22,Río Breogán,74,68,Bàsquet Girona,Triple,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,48.596168,130.816667,4C,01:43,Río Breogán,74,68,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
D. Hilliard II,80.553406,87.133333,4C,01:00,Río Breogán,74,70,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
A. Aranitovic,66.691533,135.166667,1C,04:04,Río Breogán,7,17,Bàsquet Girona,Tiro de 2,False,104151,12,2024-2025,Liga Endesa,False
A. Aranitovic,120.528051,53.366667,1C,01:47,Río Breogán,12,19,Bàsquet Girona,Triple,True,104151,12,2024-2025,Liga Endesa,False
A. Aranitovic,138.82947,219.4,1C,00:47,Río Breogán,14,22,Bàsquet Girona,Triple,False,104151,12,2024-2025,Liga Endesa,False
A. Aranitovic,27.616036,134.45,2C,07:32,Río Breogán,21,27,Bàsquet Girona,Tiro de 2,True,104151,12,2024-2025,Liga Endesa,False
