nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
C. Hunt,40.335241,136.633333,1C,09:33,BAXI Manresa,0,2,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
C. Hunt,31.830795,147.983333,1C,06:54,BAXI Manresa,7,6,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,24.75,145.883333,1C,06:25,BAXI Manresa,9,8,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,34.19106,147.983333,2C,03:08,BAXI Manresa,43,51,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,28.533917,141.25,2C,01:00,BAXI Manresa,47,57,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,127.665043,72.333333,3C,08:05,BAXI Manresa,52,65,MoraBanc Andorra,Triple,False,104142,11,2024-2025,Liga Endesa,False
C. Hunt,144.655203,197.55,3C,00:03,BAXI Manresa,75,87,MoraBanc Andorra,Triple,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,24.75,150.9,4C,07:58,BAXI Manresa,78,91,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,36.083018,139.15,4C,06:48,BAXI Manresa,81,91,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
C. Hunt,131.917266,67.716667,4C,02:30,BAXI Manresa,99,102,MoraBanc Andorra,Triple,True,104142,11,2024-2025,Liga Endesa,False
C. Hunt,164.024361,128.216667,4C,00:20,BAXI Manresa,105,111,MoraBanc Andorra,Triple,False,104142,11,2024-2025,Liga Endesa,False
B. Massa,24.75,137.05,1C,08:56,BAXI Manresa,2,2,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
B. Massa,64.406197,139.15,1C,07:51,BAXI Manresa,4,4,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
B. Massa,32.299101,134.933333,4C,06:48,BAXI Manresa,83,91,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
M. Sagnia,125.304778,58.9,1C,05:48,BAXI Manresa,9,8,MoraBanc Andorra,Triple,False,104142,11,2024-2025,Liga Endesa,False
M. Sagnia,24.75,141.25,1C,03:16,BAXI Manresa,20,17,MoraBanc Andorra,Mate,True,104142,11,2024-2025,Liga Endesa,False
M. Sagnia,30.894182,22.35,2C,03:34,BAXI Manresa,41,48,MoraBanc Andorra,Triple,False,104142,11,2024-2025,Liga Endesa,False
M. Sagnia,132.385572,69.816667,3C,04:53,BAXI Manresa,55,76,MoraBanc Andorra,Triple,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,128.133349,214.366667,1C,05:21,BAXI Manresa,9,10,MoraBanc Andorra,Triple,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,24.75,141.25,1C,04:03,BAXI Manresa,16,10,MoraBanc Andorra,Mate,True,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,29.002223,128.65,2C,07:00,BAXI Manresa,37,34,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,29.47053,132.016667,2C,06:26,BAXI Manresa,39,34,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,24.75,118.15,2C,05:34,BAXI Manresa,39,37,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,24.75,152.166667,3C,06:14,BAXI Manresa,53,70,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,33.722753,133.266667,3C,04:00,BAXI Manresa,58,79,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,31.362488,135.366667,3C,03:16,BAXI Manresa,61,79,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,165.429281,151.75,3C,02:46,BAXI Manresa,64,79,MoraBanc Andorra,Triple,True,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,30.894182,145.866667,3C,01:14,BAXI Manresa,107,111,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,39.379896,147.966667,4C,04:25,BAXI Manresa,87,97,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,102.170435,40.816667,4C,03:03,BAXI Manresa,96,101,MoraBanc Andorra,Triple,True,104142,11,2024-2025,Liga Endesa,False
M. Saint-Supery,26.641958,153.0,4C,01:05,BAXI Manresa,107,111,MoraBanc Andorra,Tiro de 2,False,104142,11,2024-2025,Liga Endesa,False
E. Cate,37.019631,146.716667,1C,05:14,BAXI Manresa,11,10,MoraBanc Andorra,Tiro de 2,True,104142,11,2024-2025,Liga Endesa,False
R. Obasohan,124.836471,224.866667,1C,04:24,BAXI Manresa,14,10,MoraBanc Andorra,Triple,True,104142,11,2024-2025,Liga Endesa,False
